sep=,
"Time","PKG","CORE"
2025-08-31 02:57:00,0.000151,0.000100
2025-08-31 02:57:15,0.000152,0.000101
2025-08-31 02:57:30,0.000151,0.000101
2025-08-31 02:57:45,0.000151,0.0001000
2025-08-31 02:58:00,0.000150,0.0000992
2025-08-31 02:58:15,0.000150,0.0000990
2025-08-31 02:58:30,0.000149,0.0000985
2025-08-31 02:58:45,0.000149,0.0000976
2025-08-31 02:59:00,0.000149,0.0000980
2025-08-31 02:59:15,0.000148,0.0000970
2025-08-31 02:59:30,0.000147,0.0000962
2025-08-31 02:59:45,0.000145,0.0000951
2025-08-31 03:00:00,0.000150,0.0000984
2025-08-31 03:00:15,0.000156,0.000102
2025-08-31 03:00:30,0.000160,0.000106
2025-08-31 03:00:45,0.000165,0.000109
2025-08-31 03:01:00,0.000169,0.000112
2025-08-31 03:01:15,0.000170,0.000114
2025-08-31 03:01:30,0.000172,0.000115
2025-08-31 03:01:45,0.000172,0.000116
2025-08-31 03:02:00,0.000173,0.000116
2025-08-31 03:02:15,0.000174,0.000117
2025-08-31 03:02:30,0.000174,0.000118
2025-08-31 03:02:45,0.000175,0.000118
2025-08-31 03:03:00,0.000176,0.000119
2025-08-31 03:03:15,0.000177,0.000120
2025-08-31 03:03:30,0.000178,0.000121
2025-08-31 03:03:45,0.000178,0.000121
2025-08-31 03:04:00,0.000179,0.000122
2025-08-31 03:04:15,0.000178,0.000122
2025-08-31 03:04:30,0.000178,0.000121
2025-08-31 03:04:45,0.000178,0.000121
2025-08-31 03:05:00,0.000178,0.000121
2025-08-31 03:05:15,0.000178,0.000121
2025-08-31 03:05:30,0.000178,0.000121
2025-08-31 03:05:45,0.000178,0.000121
2025-08-31 03:06:00,0.000178,0.000121

