sep=,
"Time","PKG","CORE"
2025-08-27 20:44:00,0.0000833,0.0000521
2025-08-27 20:44:15,0.0000870,0.0000544
2025-08-27 20:44:30,0.0000907,0.0000566
2025-08-27 20:44:45,0.0000949,0.0000592
2025-08-27 20:45:00,0.0000988,0.0000616
2025-08-27 20:45:15,0.000103,0.0000640
2025-08-27 20:45:30,0.000107,0.0000664
2025-08-27 20:45:45,0.000111,0.0000690
2025-08-27 20:46:00,0.000115,0.0000715
2025-08-27 20:46:15,0.000119,0.0000739
2025-08-27 20:46:30,0.000122,0.0000763
2025-08-27 20:46:45,0.000127,0.0000789
2025-08-27 20:47:00,0.000130,0.0000811
2025-08-27 20:47:15,0.000134,0.0000835
2025-08-27 20:47:30,0.000138,0.0000861
2025-08-27 20:47:45,0.000141,0.0000871
2025-08-27 20:48:00,0.000139,0.0000858
2025-08-27 20:48:15,0.000138,0.0000846
2025-08-27 20:48:30,0.000138,0.0000839
2025-08-27 20:48:45,0.000138,0.0000836
2025-08-27 20:49:00,0.000138,0.0000839
2025-08-27 20:49:15,0.000137,0.0000832
2025-08-27 20:49:30,0.000138,0.0000835
2025-08-27 20:49:45,0.000138,0.0000835
2025-08-27 20:50:00,0.000138,0.0000838
2025-08-27 20:50:15,0.000139,0.0000842
2025-08-27 20:50:30,0.000139,0.0000844
2025-08-27 20:50:45,0.000139,0.0000845
2025-08-27 20:51:00,0.000140,0.0000849
2025-08-27 20:51:15,0.000140,0.0000849
2025-08-27 20:51:30,0.000140,0.0000853
2025-08-27 20:51:45,0.000140,0.0000854
2025-08-27 20:52:00,0.000141,0.0000861
2025-08-27 20:52:15,0.000141,0.0000862
2025-08-27 20:52:30,0.000142,0.0000865
2025-08-27 20:52:45,0.000142,0.0000867
2025-08-27 20:53:00,0.000142,0.0000863

